Station_Year,Year,Method,Station.Code,Period,Intended.Period,Date,Species.Code,Total.Number,Start.Time,X0.3min..50m,X0.3min..50m.1,X0.3min.flyovers,X3.5min..50m,X3.5min..50m.1,X3.5min.flyovers,X5.10min..50m,X5.10min..50m.1,X5.10min.flyovers,Exclude.Data,Exclude.Reason...Comments,Breeder,X,tagmeth,lat,lon,date,dur,dis,time,offset
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,LEFL,3,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,0.261
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,CEDW,2,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,0.4306
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,REVI,2,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,0.1693
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,RWBL,2,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,1.1464
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,WTSP,2,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,1.1944
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,ALFL,1,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,0.7493
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,AMCR,1,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,No,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,2.5033
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,AMRO,1,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,-6.8519
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,CHSP,1,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,0.6429
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,LISP,1,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,0.6254
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,OVEN,1,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,PC,56.98083,-111.61861,6/20/2012,10,Inf,4:30,-4.1667
BCDS_2012,2012,PC,BCDS,5,5,20-Jun-12,RNGR,1,4:30,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
